bus_id,route_id,route_nm,route_ord,node_id,ars_id,node_nm,lngt,la
b000001,113900009,마포16,1,113900260,14492,마포16번종점,126.8988594,37.5608656
b000002,113900015,마포09,1,113900284,14495,망원유수지.마포구민체육센터,126.8985925,37.55649687
b000003,113900010,마포07,1,113900285,14496,양화진성지,126.9119308,37.54564037
b000004,114900002,양천02,1,114900082,15501,강서보건소.9호선등촌역,126.8680475,37.54903807
b000005,114900001,양천01,1,114900082,15501,강서보건소.9호선등촌역,126.8680475,37.54903807
b000006,114900003,양천03,1,114900097,15596,신정이펜하우스1단지,126.828095,37.515057
b000007,113900017,마포18-1,1,113900315,14612,상암월드컵파크6.7단지,126.8806238,37.58105871
b000008,113900016,마포18,1,113900315,14612,상암월드컵파크6.7단지,126.8806238,37.58105871
b000009,117900012,금천11-1,1,117900193,18857,산기슭공원,126.906723,37.463855
b000010,117900010,금천11,1,117900193,18857,산기슭공원,126.906723,37.463855
b000011,116900004,구로11,1,116900094,17474,대림역4번출구,126.894201,37.494421
b000012,116900003,구로10,1,116900094,17474,대림역4번출구,126.894201,37.494421
b000013,116900007,구로09,1,116900095,17475,동아1차APT105동,126.882003,37.510083
b000014,100100192,2113,1,106000319,7418,중랑공영차고지.신내역,127.1027997,37.61354475
b000015,100100264,5530,1,225000180,40619,군포공영차고지,126.9253683,37.33192241
b000016,100100574,541,1,225000180,40619,군포공영차고지,126.9253683,37.33192241
b000017,100100265,5531,1,225000180,40619,군포공영차고지,126.9253683,37.33192241
b000018,100100279,5623,1,225000180,40619,군포공영차고지,126.9253683,37.33192241
b000019,100100251,5513,1,120000173,21275,제2공학관,126.95205,37.448828
b000020,100100423,6016,1,121000521,22813,서울교육대앞,127.0145108,37.48784332
b000021,100100030,151,1,108000014,9102,우이동도선사입구.북한산우이역,127.012719,37.662647
b000022,100100032,163,1,108000014,9102,우이동도선사입구.북한산우이역,127.012719,37.662647
b000023,100100006,101,1,108000014,9102,우이동도선사입구.북한산우이역,127.012719,37.662647
b000024,100100610,N15,1,108000016,9104,우이동성원아파트,127.013357,37.662045
b000025,100100118,753,1,111000299,12390,구산동사거리,126.9122339,37.61427123
b000026,123000009,Jan-00,1,124000039,25139,고덕역,127.155862,37.555437
b000027,100100508,6300,1,124000039,25139,고덕역,127.155862,37.555437
b000028,100100260,5524,1,120000444,21809,난곡종점,126.9192838,37.46411007
b000029,100100062,401,1,123000586,24460,서울버스종점,127.1369279,37.4806082
b000030,100100051,301,1,123000586,24460,서울버스종점,127.1369279,37.4806082
b000031,100100612,3426,1,123000586,24460,서울버스종점,127.1369279,37.4806082
b000032,124000011,6105,1,115000600,16857,김포공항국제선,126.801935,37.56570601
b000033,109900005,도봉09,1,109000179,10265,창동역동측(도봉방면),127.0499898,37.65397438
b000034,109900006,도봉08,1,109000179,10265,창동역동측(도봉방면),127.0499898,37.65397438
b000035,100100309,6632,1,115000321,16435,개화역광역환승센터,126.797978,37.57822
b000036,115000008,N65,1,115000321,16435,개화역광역환승센터,126.797978,37.57822
b000037,100100318,6645,1,115000321,16435,개화역광역환승센터,126.797978,37.57822
b000038,100100090,605,1,115000321,16435,개화역광역환승센터,126.797978,37.57822
b000039,100100316,6642,1,115000321,16435,개화역광역환승센터,126.797978,37.57822
b000040,100100586,N26,1,115000321,16435,개화역광역환승센터,126.797978,37.57822
b000041,100100308,6631,1,115000321,16435,개화역광역환승센터,126.797978,37.57822
b000042,100100086,601,1,115000321,16435,개화역광역환승센터,126.797978,37.57822
b000043,115000010,N64,1,115000321,16435,개화역광역환승센터,126.797978,37.57822
b000044,100100389,9401,1,206000498,7476,구미동차고지앞,127.1060252,37.34229196
b000045,107000005,9409,1,206000498,7476,구미동차고지앞,127.1060252,37.34229196
b000046,100100392,9408,1,206000498,7476,구미동차고지앞,127.1060252,37.34229196
b000047,115000002,6707B,1,129000083,92641,인천공항T1-1층,126.4513105,37.44879899
b000048,115000004,강남방면,1,129000083,92641,인천공항T1-1층,126.4513105,37.44879899
b000049,100100571,6704,1,129000083,92641,인천공항T1-1층,126.4513105,37.44879899
b000050,115000003,강북방면,1,129000083,92641,인천공항T1-1층,126.4513105,37.44879899
b000051,100100358,7727,1,219000698,36299,설문동,126.7906902,37.71630638
b000052,103900005,성동07,1,103900142,4502,대우아파트관리실,127.019985,37.546215
b000053,103900014,성동15,1,103900142,4502,대우아파트관리실,127.019985,37.546215
b000054,103900001,성동09,1,103900149,4501,극동아파트5동,127.011079,37.54315954
b000055,108900013,강북08,1,108900250,9920,두산위브아파트,127.0154199,37.61909483
b000056,110900004,노원01,1,110900074,11577,보람사거리,127.0670672,37.66436871
b000057,112900010,서대문01,1,112900002,13510,삼성빌라,126.933839,37.5956
b000058,112900015,서대문02소,1,112900003,13509,뜨란채아파트101동,126.9587733,37.56583701
b000059,112900011,서대문04,1,112900004,13508,궁동근린공원입구,126.9241991,37.56957653
b000060,112900007,서대문06,1,112900005,13506,두산아파트,126.9492611,37.55912016
b000061,112900013,서대문09소,1,112900007,13503,풍진베이스타운.안산자락길입구,126.943324,37.582426
b000062,112900005,서대문13,1,112900116,13501,홍은동국민주택,126.949851,37.605675
b000063,112900006,서대문11,1,112900116,13501,홍은동국민주택,126.949851,37.605675
b000064,112900004,서대문03,1,112900141,13891,홍은2동주민센터,126.9344518,37.58041378
b000065,112900014,서대문02대,1,112900157,13934,뜨란채아파트101동,126.958565,37.56585496
b000066,112900009,서대문05,1,112900180,13507,북아현삼거리,126.9529748,37.56480507
b000067,112900012,서대문09대,1,112900199,13589,가산빌라,126.9360671,37.58488227
